Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
1,1/5/2007,83,50,67,14,51,56,0,2,448,1849, ,0,M,0,0,29.1,29.82,1.7,27,9.2
2,1/5/2007,84,52,68,M,51,57,0,3,-,-, ,M,M,M,0,29.18,29.82,2.7,25,9.6
1,2/5/2007,59,42,51,-3,42,47,14,0,447,1850,BR,0,M,0,0,29.38,30.09,13,4,13.4
2,2/5/2007,60,43,52,M,42,47,13,0,-,-,BR HZ,M,M,M,0,29.44,30.08,13.3,2,13.4
1,3/5/2007,66,46,56,2,40,48,9,0,446,1851, ,0,M,0,0,29.39,30.12,11.7,7,11.9
2,3/5/2007,67,48,58,M,40,50,7,0,-,-,HZ,M,M,M,0,29.46,30.12,12.9,6,13.2
1,4/5/2007,66,49,58,4,41,50,7,0,444,1852,RA,0,M,0,  T,29.31,30.05,10.4,8,10.8
2,4/5/2007,78,51,M,M,42,50,M,M,-,-, ,M,M,M,0,29.36,30.04,10.1,7,10.4
1,5/5/2007,66,53,60,5,38,49,5,0,443,1853, ,0,M,0,  T,29.4,30.1,11.7,7,12
2,5/5/2007,66,54,60,M,39,50,5,0,-,-, ,M,M,M,  T,29.46,30.09,11.2,7,11.5
1,6/5/2007,68,49,59,4,30,46,6,0,442,1855, ,0,M,0,0,29.57,30.29,14.4,11,15
2,6/5/2007,68,52,60,M,30,46,5,0,-,-, ,M,M,M,0,29.62,30.28,13.8,10,14.5
1,7/5/2007,83,47,65,10,41,54,0,0,441,1856,RA,0,M,0,  T,29.38,30.12,8.6,18,10.5
2,7/5/2007,84,50,67,M,39,53,0,2,-,-, ,M,M,M,0,29.44,30.12,8.5,17,9.9
1,8/5/2007,82,54,68,12,58,62,0,3,439,1857,BR,0,M,0,0,29.29,30.03,2.7,11,5.8
2,8/5/2007,80,60,70,M,57,63,0,5,-,-,HZ,M,M,M,  T,29.36,30.02,2.5,8,5.4
1,9/5/2007,77,61,69,13,59,63,0,4,438,1858,BR HZ,0,M,0,0.13,29.21,29.94,3.9,9,6.2
2,9/5/2007,76,63,70,M,60,63,0,5,-,-,BR HZ,M,M,M,0.02,29.28,29.93,3.9,7,5.9
1,10/5/2007,84,56,70,14,52,60,0,5,437,1859,BR,0,M,0,0,29.2,29.92,0.7,17,4.1
2,10/5/2007,83,59,71,M,52,61,0,6,-,-,BR HZ,M,M,M,0,29.26,29.91,2,9,3.9
1,11/5/2007,70,51,61,4,42,51,4,0,436,1860, ,0,M,0,0,29.33,30.04,11.3,3,12.9
2,11/5/2007,73,49,61,M,44,51,4,0,-,-, ,M,M,M,0,29.39,30.03,11.7,36,12.8
1,12/5/2007,64,46,55,-2,36,46,10,0,435,1901, ,0,M,0,0,29.49,30.2,12.4,3,12.9
2,12/5/2007,65,47,56,M,37,46,9,0,-,-, ,M,M,M,0,29.54,30.19,12.7,1,13
